DEBUG:root:2015-12-29 17:19:19.296986 	 ClientGui 	 Initial setup completed
DEBUG:root:2015-12-29 17:19:23.465083 	 ClientGui 	 Name: 1234
DEBUG:root:2015-12-29 17:19:28.356288 	 ClientGui 	 Server: 10.0.0.14
DEBUG:root:2015-12-29 17:19:28.365943 	 ClientGui 	 Socket setup completed
DEBUG:root:2015-12-29 17:19:28.366494 	 ClientGui 	 ControllerThread setup completed
DEBUG:root:2015-12-29 17:19:28.366758 	 CThread 	 Login sent to Server
DEBUG:root:2015-12-29 17:19:28.367005 	 ClientGui 	 ReceiverThread setup completed
DEBUG:root:2015-12-29 17:19:31.646953 	 RThread 	 Connection request from ('Benis', '10.0.0.4', 7777)
DEBUG:root:2015-12-29 17:19:33.573268 	 ClientGui 	 Agreed to client connection
DEBUG:root:2015-12-29 17:19:33.576346 	 ClientGui 	 Connecting to ('Benis', '10.0.0.4', 7777)
