DEBUG:root:2016-01-04 15:58:09.033705 	 ClientGui 	 Initial setup completed
DEBUG:root:2016-01-04 15:58:14.042246 	 ClientGui 	 Name: 1234
DEBUG:root:2016-01-04 15:58:21.406335 	 ClientGui 	 Server: 10.0.0.14
DEBUG:root:2016-01-04 15:58:21.415918 	 ClientGui 	 Socket setup completed
DEBUG:root:2016-01-04 15:58:21.416359 	 ClientGui 	 ControllerThread setup completed
DEBUG:root:2016-01-04 15:58:21.416564 	 CThread 	 Login sent to Server
DEBUG:root:2016-01-04 15:58:21.416804 	 ClientGui 	 ReceiverThread setup completed
DEBUG:root:2016-01-04 15:58:41.488290 	 ClientGui 	 Initial setup completed
DEBUG:root:2016-01-04 15:58:52.181500 	 ClientGui 	 Name: 1234
DEBUG:root:2016-01-04 15:59:07.747696 	 ClientGui 	 Server: 10.0.0.14
DEBUG:root:2016-01-04 15:59:08.756113 	 ClientGui 	 Socket setup completed
DEBUG:root:2016-01-04 15:59:08.756807 	 ClientGui 	 ControllerThread setup completed
DEBUG:root:2016-01-04 15:59:08.757163 	 CThread 	 Login sent to Server
DEBUG:root:2016-01-04 15:59:08.757551 	 ClientGui 	 ReceiverThread setup completed
